name,fips,code,number,district,district_code,census_2010_white,census_2010_black,census_2010_latino,census_2010_api,census_2010_native,census_2010_other,acs_2015_pct_bachelor_ge25,acs_2015_pct_bachelor_white_ge25,acs_2015_median_hh_income,2016_pres_total,2016_pres_d,2016_pres_r,2016_pres_other,2012_pres_total,2012_pres_d,2012_pres_r,2012_pres_other,2008_pres_total,2008_pres_d,2008_pres_r,2008_pres_other,2016_house_total,2016_house_d,2016_house_r,2016_house_other,2014_house_total,2014_house_d,2014_house_r,2014_house_other,2012_house_d,2012_house_r,2012_house_other,2016_pvi,2012_pvi,2008_pvi,pop_total,pop_white,pop_black,pop_latino,pop_api,pop_native,pop_other,pop_total_ge18,pop_white_ge18,pop_black_ge18,pop_latino_ge18,pop_api_ge18,pop_native_ge18,pop_other_ge18
Colorado,08,CO,2,Colorado 2nd,CO-02,86.7,0.7,8.1,2.8,0.4,1.3,54.6,57.1,"$72,468","471,308","264,925","164,710",,"440,652","255,209","174,095",,"416,822","255,063","154,884",,"457,312","260,175","170,001","27,136","345,945","196,300","149,645",0,"234,758","162,639",,10.5,7.5,8.5,"720,579","608,657","5,200","70,134","20,592","2,680","13,316","568,934","493,336","4,066","45,942","15,899","2,063","7,628"
Colorado,08,CO,3,Colorado 3rd,CO-03,75.5,0.7,20.7,0.7,1.2,1.2,30.2,35.8,"$50,010","377,176","151,057","195,966",,"358,045","163,886","185,459",,"343,167","166,259","171,205",,"374,037","150,914","204,220","18,903","281,141","100,364","163,011","17,766","142,920","185,291",,-7.6,-5.1,-4.4,"718,598","516,568","4,920","172,177","5,136","9,245","10,552","549,229","414,403","3,860","113,616","4,043","6,829","6,478"
Colorado,08,CO,4,Colorado 4th,CO-04,77.2,1.3,18.1,1.7,0.6,1.1,34,38.5,"$72,390","402,197","137,779","230,945",,"357,971","140,404","209,415",,"330,465","138,609","186,271",,"390,549","123,642","248,155","18,752","286,507","83,727","185,292","17,488","125,800","200,006",,-13.7,-11.8,-11,"717,241","529,742","8,734","151,566","12,288","3,597","11,314","522,909","403,465","6,952","94,856","8,958","2,884","5,794"
Colorado,08,CO,5,Colorado 5th,CO-05,77.1,5.2,12,2.8,0.7,2.3,34.8,38.6,"$58,882","371,751","123,508","212,517",,"339,143","129,903","200,491",,"320,557","127,252","188,389",,"361,993","111,676","225,445","24,872","262,855","105,673","157,182",0,0,"199,639",,-14.4,-12.6,-13.4,"719,812","530,955","37,995","102,871","19,021","4,759","24,211","539,460","415,862","28,043","64,876","14,862","3,673","12,144"
Colorado,08,CO,6,Colorado 6th,CO-06,67.3,8.4,16.7,5.3,0.4,1.8,41.1,48.1,"$74,430","380,535","191,103","157,115",,"354,989","183,024","165,070",,"326,232","175,007","146,589",,"376,417","160,372","191,626","24,419","276,440","118,847","143,467","14,126","156,937","163,938",,3.8,0.6,0.7,"719,715","455,014","62,231","141,923","37,602","2,812","20,133","521,204","350,982","43,868","87,117","27,686","2,141","9,410"
Colorado,08,CO,7,Colorado 7th,CO-07,70.9,1.3,22.7,3.2,0.6,1.3,32.1,38.8,"$62,330","374,616","192,637","147,645",,"349,920","196,276","144,379",,"327,142","187,678","133,184",,"362,010","199,758","144,066","18,186","269,143","148,225","120,918",0,"182,460","139,066",,5.5,5.7,4.8,"715,648","472,984","9,663","192,950","23,171","4,075","12,805","540,266","383,135","7,045","122,418","17,424","3,115","7,129"
Connecticut,09,CT,1,Connecticut 1st,CT-01,68.8,12.9,12.5,4.2,0.1,1.4,36.7,41.4,"$69,959","328,774","195,305","119,395",,"317,496","200,960","112,982",,"334,807","220,181","110,296",,"312,925","200,686","105,674","6,565","217,696","135,686","78,520","3,490","206,973","82,321",,10.9,12,12.9,"711,905","463,950","97,473","104,464","31,262","1,058","13,698","550,375","378,925","71,209","68,830","23,058",778,"7,575"
Connecticut,09,CT,2,Connecticut 2nd,CT-02,86,3.7,5.7,2.9,0.4,1.4,34.9,36.9,"$71,670","340,758","165,799","155,975",,"317,687","177,544","135,235",,"340,366","199,414","136,155",,"330,257","208,818","111,149","10,290","227,750","141,851","80,842","5,057","204,708","88,103",,0.4,4.8,5.7,"712,938","600,037","25,834","48,295","20,733","2,930","15,109","559,634","481,488","20,502","31,638","15,994","2,121","7,891"
Connecticut,09,CT,3,Connecticut 3rd,CT-03,72.5,11.6,10.6,3.8,0.2,1.4,35.9,38.6,"$63,315","321,837","179,832","129,968",,"305,600","191,296","110,912",,"324,233","203,090","117,258",,"309,379","213,572","95,786",21,"210,420","141,197","69,223",0,"217,585","73,726",,6.9,11.3,9.7,"716,978","493,119","90,043","90,729","27,822","1,127","14,138","563,641","408,545","65,179","59,640","21,414",881,"7,982"
Connecticut,09,CT,4,Connecticut 4th,CT-04,66.8,10.9,16.2,4.6,0.1,1.4,48.6,59.5,"$89,085","328,198","195,494","119,976",,"310,284","170,884","136,600",,"323,755","192,941","128,653",,"313,540","187,811","125,724",5,"198,719","106,791","91,928",0,"175,929","117,503",,10.9,3.6,6.3,"717,177","465,506","79,783","124,345","33,266",735,"13,542","536,108","358,054","58,362","86,945","24,833",489,"7,425"
Connecticut,09,CT,5,Connecticut 5th,CT-05,76.7,5.6,13.1,2.9,0.1,1.5,35.6,40.6,"$68,810","322,737","161,142","147,901",,"307,553","164,621","139,347",,"323,202","182,147","137,066",,"309,082","179,252","129,801",29,"211,123","112,550","96,625","1,948","146,106","138,640",,1,2.2,3.4,"715,099","523,650","41,986","111,254","21,966","1,035","15,208","547,324","419,536","30,764","71,894","15,916",775,"8,439"
Delaware,10,DE,AL,Delaware At-Large,DE-AL,69,19.5,6.7,3.2,0.3,1.3,30.9,32.8,"$61,255","441,590","235,603","185,127",,"413,890","242,584","165,484",,"412,412","255,459","152,374",,"420,617","233,554","172,301","14,762","231,617","137,251","85,146","9,220","249,933","129,757",,4.9,7.5,8.9,"897,934","586,752","186,782","73,221","28,546","2,824","19,809","692,169","477,636","134,984","46,136","21,844","2,248","9,321"
Florida,12,FL,1,Florida 1st,FL-01,77.6,12.5,4.5,2.7,0.8,2,26.8,29,"$51,094","380,100","107,063","256,609",,100,30.1,68.5,,100,32,66.8,,"369,186","114,079","255,107",0,"235,343","54,976","165,086","15,281","92,961","238,440",,-21.7,-21.4,-21.3,"696,535","522,979","94,989","35,965","17,410","5,027","20,165","541,847","420,265","67,755","24,624","14,449","4,149","10,605"
Florida,12,FL,2,Florida 2nd,FL-02,79.7,12.2,4.8,1.5,0.5,1.3,22.5,,"$45,957","354,948","108,636","234,991",,100,34,64.6,,100,35.2,63.4,,"343,362","102,801","231,163","9,398",,,,,,,,-19.5,-17.5,-18,"691,866","541,277","86,305","37,570","10,224","3,395","13,095","549,325","437,988","67,000","26,518","8,005","2,729","7,085"
Florida,12,FL,3,Florida 3rd,FL-03,72.8,14.8,7.4,3.3,0.3,1.4,27,,"$47,433","351,688","141,362","197,478",,100,41.9,56.6,,100,44.2,54.6,,"342,700","136,338","193,843","12,519",,,,,,,,-9.4,-9.4,-9,"693,992","487,768","111,555","56,511","21,708","2,126","14,324","544,863","396,837","80,796","40,113","17,795","1,682","7,640"
Florida,12,FL,4,Florida 4th,FL-04,79,9,6.2,4,0.3,1.5,39.1,,"$64,011","421,618","143,675","261,826",,100,32.8,66.1,,100,34.8,64.2,,"409,662","113,088","287,509","9,065",,,,,,,,-15.7,-18.8,-18.5,"703,676","539,580","68,319","48,895","29,091","2,060","15,731","548,152","432,907","49,112","34,090","22,162","1,651","8,230"
